dbprimary_acc	display_label	description
IPR007168	Phageshock_PspC_N	Phage shock protein, PspC, N-terminal
IPR007182	MnhB	Na+/H+ antiporter MnhB subunit-related protein
IPR007184	Mannoside_phosphorylase	Mannoside phosphorylase
IPR007187	Nucleoporin_Nup133/Nup155_C	Nucleoporin, Nup133/Nup155-like, C-terminal
IPR007191	Sec8_exocyst	Sec8 exocyst complex component specific domain
IPR007193	Upf2/Nmd2_C	Up-frameshift suppressor 2, C-terminal
IPR007195	TolB_N	TolB, N-terminal
IPR007199	Rep_factor-A_N	Replication factor-A protein 1, N-terminal
IPR007202	4Fe-4S_dom	4Fe-4S domain
IPR007203	ORMDL	ORMDL family
IPR007206	Protein_HGH1_C	Protein HGH1 C-terminal
IPR007207	Not_N	CCR4-Not complex component, Not N-terminal domain
IPR007208	MrpF/PhaF-like	Na(+)/H(+) antiporter subunit F-like
IPR007210	ABC_Gly_betaine_transp_sub-bd	ABC-type glycine betaine transport system, substrate-binding domain
IPR007211	DUF378	Protein of unknown function DUF378
IPR007212	Zf-like	Cysteine-rich small domain
IPR007217	Per1-like	Per1-like
IPR007218	DNA_pol_delta_4	DNA polymerase delta, subunit 4
IPR007219	Transcription_factor_dom_fun	Transcription factor domain, fungi
IPR007221	MreC	Rod shape-determining protein MreC
IPR007223	Peroxin-13_N	Peroxin 13, N-terminal
IPR007224	TIF_Rrn11	Transcription initiation factor Rrn11
IPR007226	SRS_dom	SRS domain
IPR007227	Cell_shape_determining_MreD	Cell shape-determining protein MreD
IPR007231	Nucleoporin_int_Nup93/Nic96	Nucleoporin interacting component Nup93/Nic96
IPR007232	Rad52_Rad59_Rad22	DNA repair protein Rad52/59/22
IPR007236	SlyX	SlyX
IPR007237	CD20-like	CD20-like family
IPR007240	Atg17	Autophagy-related protein 17
IPR007241	Autophagy-rel_prot_9	Autophagy-related protein 9
IPR007242	Atg12	Ubiquitin-like protein Atg12
IPR007247	Ureidogly_lyase	Ureidoglycolate lyase
IPR007250	HSP9_HSP12	Heat shock protein 9/12
IPR007251	Iron_permease_Fet4	Low affinity iron permease, Fet4
IPR007252	Nup84/Nup107	Nuclear pore protein 84/107
IPR007253	Cell_wall-bd_2	Putative cell wall binding repeat 2
IPR007255	COG8	Conserved oligomeric Golgi complex subunit 8
IPR007260	NanE	Putative N-acetylmannosamine-6-phosphate epimerase
IPR007262	Vps55/LEPROT	Vps55/LEPROT
IPR007264	H/ACA_rnp_Nop10	H/ACA ribonucleoprotein complex, subunit Nop10
IPR007267	GtrA	GtrA-like protein
IPR007268	Rad9/Ddc1	Rad9/Ddc1
IPR007277	Svp26/Tex261	Svp26/Tex261
IPR007278	DUF397	Domain of unknown function DUF397
IPR007280	Peptidase_C_arc/bac	Peptidase, C-terminal, archaeal/bacterial
IPR007284	Ground-like_dom	Ground-like domain
IPR007290	Arv1	Arv1 protein
IPR007292	Nuclear_fusion_Kar5	Nuclear fusion protein Kar5
IPR007295	DUF402	Domain of unknown function DUF402
IPR007296	DUF403	Domain of unknown function DUF403
IPR007298	Cu-R_lipoprotein_NlpE	Copper resistance lipoprotein NlpE
IPR007300	CidB/LrgB	CidB/LrgB family
IPR007302	CP_ATPgrasp	Circularly permuted ATPgrasp domain
IPR007306	Rit1	tRNA A64-2'-O-ribosylphosphate transferase
IPR007307	Ltv1	Low temperature viability protein Ltv1
IPR007308	Rtr1/RPAP2_dom	Rtr1/RPAP2 domain
IPR007309	TFIIIC_Bblock-bd	B-block binding subunit of TFIIIC
IPR007310	Aerobactin_biosyn_IucA/IucC_N	Aerobactin siderophore biosynthesis, IucA/IucC, N-terminal
IPR007311	ST7	ST7
IPR007313	FxsA	FxsA cytoplasmic membrane protein
IPR007314	Cofac_haem-bd_dom	Haem-binding uptake, Tiki superfamily, ChaN
IPR007315	PIG-V/Gpi18	GPI mannosyltransferase 2
IPR007317	GET4	Golgi to ER traffic protein 4
IPR007318	Phopholipid_MeTrfase	Phospholipid methyltransferase
IPR007322	RNA_pol_bunyavir	RNA-dependent RNA polymerase, bunyaviral
IPR007324	Sugar-bd_dom_put	Sugar-binding domain, putative
IPR007325	KFase/CYL	Kynurenine formamidase/cyclase-like
IPR007327	TPD52	Tumour protein D52
IPR007328	Mfp-3	Foot protein 3
IPR007329	FMN-bd	FMN-binding
IPR007330	MIT	MIT
IPR007334	UPF0208	Uncharacterised protein family UPF0208
IPR007336	Der_GTPase_activator	Der GTPase activator
IPR007337	RelB/DinJ	RelB antitoxin/Antitoxin DinJ
IPR007338	DUF416	Protein of unknown function DUF416
IPR007339	RclC-like	Inner membrane protein RclC-like
IPR007340	Opacity-associatedA	Opacity-associated protein A
IPR007341	Transgly_assoc	Transglycosylase-associated protein
IPR007343	Uncharacterised_pept_Zn_put	Uncharacterised protein family, zinc metallopeptidase putative
IPR007344	GrpB/CoaE	GrpB/Dephospho-CoA kinase
IPR007345	Polysacch_pyruvyl_Trfase	Polysaccharide pyruvyl transferase
IPR007346	Endonuclease-I	Endonuclease I
IPR007347	SpoVS	Sporulation stage V, protein S
IPR007348	CopC_dom	CopC domain
IPR007349	DUF418	Domain of unknown function DUF418
IPR007350	Transposase_Tc5_C	Transposase, Tc5, C-terminal
IPR007351	YjbR	Uncharacterised protein YjbR
IPR007353	DUF421	Protein of unknown function DUF421
IPR007354	CruF-like	Bisanhydrobacterioruberin hydratase CruF-like
IPR007357	PhrB-like	Photolyase PhrB-like
IPR007358	Nucleoid_associated_NdpA	Nucleoid-associated protein NdpA
IPR007359	SigmaE_reg_RseC_MucC	Positive regulator of sigma(E), RseC/MucC
IPR007360	SirB	Invasion gene expression up-regulator, SirB
IPR007361	DUF427	Domain of unknown function DUF427
IPR007362	DUF429	Protein of unknown function DUF429
IPR007365	TFR-like_dimer_dom	Transferrin receptor-like, dimerisation domain
IPR007367	DUF433	Protein of unknown function DUF433
IPR007370	Glu_cys_ligase	Glutamate--cysteine ligase
IPR007372	Lipid/polyisoprenoid-bd_YceI	Lipid/polyisoprenoid-binding, YceI-like
IPR007375	SoxG	Sarcosine oxidase, gamma subunit
IPR007376	dsDNA_mimic_put	dsDNA mimic, putative
IPR007378	Tic22-like	Tic22-like
IPR007382	UPF0756_TM	Uncharacterised protein family UPF0756, transmembrame
IPR007383	DUF445	Protein of unknown function DUF445
IPR007384	UCP006257	Protein of unknown function UCP006257
IPR007385	Scp_MukE	Prokaryotic chromosome segregation/condensation protein MukE
IPR007387	TRAP_DctQ	TRAP transporter, small membrane protein DctQ
IPR007390	Spore_V_R	Sporulation stage V, protein R
IPR007391	Vancomycin_resist_VanW	Vancomycin resistance VanW
IPR007392	Gal/Altron_deHydtase_C	D-galactarate/Altronate dehydratase, C-terminal
IPR007393	DUF448	Domain of unknown function DUF448
IPR007394	UPF0122	Putative helix-turn-helix protein, YlxM/p13-like
IPR007396	TR_PAI2-type	Transcriptional regulator PAI 2-type
IPR007400	PrpF_protein	PrpF protein
IPR007401	DUF454	Protein of unknown function DUF454
IPR007404	YdjM-like	LexA-binding, inner membrane-associated putative hydrolase
IPR007405	Phage_KVP40_Orf299	Bacteriophage KVP40, Orf299
IPR007406	MukB_N_dom	MukB, N-terminal domain
IPR007409	Restrct_endonuc_type1_HsdR_N	Restriction endonuclease, type I, HsdR, N-terminal
IPR007410	PCuAC	Copper chaperone PCuAC
IPR007411	EpmC	Elongation factor P hydroxylase
IPR007412	FlgM	Anti-sigma-28 factor, FlgM
IPR007413	DUF463_YcjX	Protein of unknown function DUF463, YcjX-like protein
IPR007414	DUF468	Protein of unknown function DUF468
IPR007419	BFD-like_2Fe2S-bd_dom	BFD-like [2Fe-2S]-binding domain
IPR007420	DUF465	Protein of unknown function DUF465
IPR007423	Sel_put	Selenoprotein, putative
IPR007427	DUF475	Protein of unknown function DUF475
IPR007428	MlaA	MlaA lipoprotein
IPR007430	VirB8	Bacterial virulence protein VirB8
IPR007431	ACP_PD	Acyl carrier protein phosphodiesterase
IPR007432	DUF480	Protein of unknown function DUF480
IPR007433	DUF481	Protein of unknown function DUF481
IPR007434	FemAB-like	Peptidogalycan biosysnthesis/recognition
IPR007435	DUF484	Protein of unknown function DUF484
IPR007437	DUF486	Protein of unknown function DUF486
IPR007438	DUF488	Protein of unknown function DUF488
IPR007439	Chemotax_Pase_CheZ	Chemotaxis phosphatase, CheZ
IPR007440	Chorismate--pyruvate_lyase	Chorismate--pyruvate lyase
IPR007441	EutH	Ethanolamine utilisation protein EutH
IPR007443	LpoA	Penicillin-binding protein activator LpoA
IPR007444	Glucan_biosyn_MdoG_C	Glucan biosynthesis, periplasmic, MdoG C-terminal
IPR007446	PilP	Type IV pilus inner membrane component PilP
IPR007449	ZipA_FtsZ-bd_C	ZipA, C-terminal FtsZ-binding domain
IPR007450	Lipoprotein_SmpA/OmlA	Lipoprotein SmpA/OmlA
IPR007451	HflD	High frequency lysogenization protein HflD
IPR007452	TamB	Translocation and assembly module TamB
IPR007453	DsrC/TusE	Sulphur transfer protein DsrC/TusE
IPR007454	UPF0250	Uncharacterised protein family UPF0250
IPR007456	Smg	Smg
IPR007458	DUF496	Protein of unknown function DUF496
IPR007459	DNA_pol3_chi	DNA polymerase III chi subunit, HolC
IPR007461	Ysc84_actin-binding	Ysc84 actin-binding domain
IPR007462	DUF502	Protein of unknown function DUF502
IPR007465	DUF508	Protein of unknown function DUF508
IPR007470	HemX	Putative uroporphyrinogen-III C-methyltransferase HemX
IPR007473	RlmJ	Ribosomal RNA large subunit methyltransferase J
IPR007475	UbiK	Ubiquinone biosynthesis accessory factor UbiK
IPR007476	RdgC	Putative exonuclease, RdgC
IPR007477	SAB_dom	SAB domain
IPR007479	ISC_FeS_clus_asmbl_IscsX	ISC system FeS cluster assembly, IscX
IPR007480	DUF529	Protein of unknown function DUF529
IPR007481	SspB	Stringent starvation protein B
IPR007483	Hamartin	Hamartin
IPR007485	LPS_assembly_LptE	LPS-assembly lipoprotein LptE
IPR007486	YebE	Inner membrane protein YebE
IPR007487	ABC_transpt-bd	ABC transporter, substrate-binding protein
IPR007488	DUF535	Protein of unknown function DUF535
IPR007492	LytTR_DNA-bd_dom	LytTR DNA-binding domain
IPR007493	DUF538	Protein of unknown function DUF538
IPR007494	Glutaredoxin2_C	Glutaredoxin 2, C-terminal
IPR007495	NqrM	(Na+)-NQR maturation factor NqrM
IPR007498	PqiA-like	Intermembrane transport protein PqiA-like
IPR007499	ERF_bacteria_virus	Essential recombination function protein
IPR007506	AcnX_catalytic_put	Aconitase X catalytic domain, putative
IPR007507	Glycos_transf_N	3-deoxy-D-manno-octulosonic-acid transferase, N-terminal
IPR007508	DtdA	D-aminoacyl-tRNA deacylase DtdA
IPR007511	DUF501	Protein of unknown function DUF501
IPR007512	Mic10	MICOS complex subunit Mic10
IPR007513	Uncharacterised_SERF_N	Uncharacterised protein family SERF, N-terminal
IPR007515	Mss4	Mss4
IPR007516	Co_F420_Hydgase/DH_bsu_N	Coenzyme F420 hydrogenase/dehydrogenase beta subunit, N-terminal
IPR007518	MINDY	MINDY deubiquitinase
IPR007519	Bul1_N	Bul1, N-terminal
IPR007521	Choline_kin_N	Choline kinase, N-terminal
IPR007524	Pec_lyase_N	Pectate lyase, N-terminal
IPR007525	FrhB_FdhB_C	Coenzyme F420 hydrogenase/dehydrogenase beta subunit, C-terminal
IPR007528	RINT1_Tip20	RINT-1/Tip20
IPR007531	Dysbindin	Dysbindin
IPR007535	Catechol_dOase_N	Catechol dioxygenase, N-terminal
IPR007536	16SrRNA_methylTrfase_J	Ribosomal RNA small subunit methyltransferase J
IPR007541	Uncharacterised_BSP	Uncharacterised protein family, basic secretory protein
IPR007542	MCP_C	Major capsid protein, C-terminal
IPR007543	LptD_C	LptD, C-terminal
IPR007551	DUF520	Protein of unknown function DUF520
IPR007553	DUF523	Domain of unknown function DUF523
IPR007554	Glycerophosphate_synth	CDP-glycerol glycerophosphotransferase
IPR007555	DUF499	Protein of unknown function DUF499
IPR007557	PSP1_C	PSP1, C-terminal
IPR007560	Restrct_endonuc_IV_Mrr	Restriction endonuclease type IV,  Mrr
IPR007561	Cell_div_SepF/SepF-rel	Cell division protein SepF/SepF-related
IPR007562	Transglutaminase-like_domain	Transglutaminase-like domain
IPR007563	DUF554	Protein of unknown function DUF554
IPR007567	Mid2_dom	Mid2 domain
IPR007568	RTA1	RTA-like protein
IPR007570	Uncharacterised_Ycf23	Uncharacterised protein family Ycf23
IPR007572	Uncharacterised_Ycf20	Uncharacterised protein family Ycf20
IPR007573	QWRF	QWRF family
IPR007574	NblA	Phycobilisome degradation protein NblA
IPR007576	CITED	CITED
IPR007577	GlycoTrfase_DXD_sugar-bd_CS	Glycosyltransferase, DXD sugar-binding motif
IPR007582	TFIID_NTD2	TFIID subunit TAF5, NTD2 domain
IPR007588	Znf_FLYWCH	Zinc finger, FLYWCH-type
IPR007592	GEBP	GLABROUS1 enhancer-binding protein family
IPR007593	CD225/Dispanin_fam	CD225/Dispanin family
IPR007596	Pox_A_type_inc	Viral A-type inclusion protein repeat
IPR007598	DUF577	Domain of unknown function DUF577
IPR007604	CP2	CP2 transcription factor
IPR007606	T3SS_effector	Type III secretion system effector
IPR007607	BacA/B	Bactofilin A/B
IPR007608	Senescence_reg_S40	Senescence regulator S40
IPR007612	LOR	LURP-one-related
IPR007614	Retinin_C	Retinin-like protein
IPR007621	TPM_dom	TPM domain
IPR007624	RNA_pol_sigma70_r3	RNA polymerase sigma-70 region 3
IPR007627	RNA_pol_sigma70_r2	RNA polymerase sigma-70 region 2
IPR007630	RNA_pol_sigma70_r4	RNA polymerase sigma-70 region 4
IPR007631	RNA_pol_sigma_70_non-ess	RNA polymerase sigma factor 70, non-essential domain
IPR007634	RNA_pol_sigma_54_DNA-bd	RNA polymerase sigma factor 54, DNA-binding
IPR007635	Tis11B_N	Tis11B-like protein, N-terminal
IPR007638	Gln-tRNA-synth_Ib_RNA-bd_2	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2
IPR007643	Dict_spore_N	Dictyostelium spore coat protein, N-terminal
IPR007648	ATPase_inhibitor_mt	Mitochondrial ATPase inhibitor
IPR007649	DUF591	Domain of unknown function DUF591
IPR007650	Zf-FLZ_dom	Zf-FLZ domain
IPR007652	A1-4-GlycosylTfrase_dom	Alpha 1,4-glycosyltransferase domain
IPR007654	NAD-dep_histone_deAcase_SIR2_N	NAD-dependent histone deacetylase Sir2, N-terminal
IPR007656	GTD-bd	GTD-binding domain
IPR007657	Glycosyltransferase_61	Glycosyltransferase 61
IPR007658	DUF594	Protein of unknown function DUF594
IPR007663	Baculo_p74	Baculoviridae p74
IPR007667	Hypoxia_induced_domain	Hypoxia induced protein, domain
IPR007668	RFX1_trans_act	RFX1 transcription activation region
IPR007669	Chst-1	Carbohydrate sulfotransferase Chst-1
IPR007671	Selenoprotein-P_N	Selenoprotein P, N-terminal
IPR007678	Poxvirus_G5	Poxvirus G5
IPR007679	DUF569	Domain of unknown function DUF569
IPR007681	Mog1	Ran-interacting Mog1 protein
IPR007684	Znf_Ogr/Delta	Zinc finger, Ogr/Delta-type
IPR007685	RelA_SpoT	RelA/SpoT
IPR007686	YutG/PgpA	YutG/PgpA domain
IPR007688	Conjugal_tfr_TrbL/VirB6	Plasmid  conjugal transfer TrbL/VirB6
IPR007689	AalphaY_mating_typ-dep-bd-dom	A-alpha-Y mating type-dependent binding domain
IPR007690	T2SS_GspM	Type II secretion system protein GspM
IPR007691	LpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
IPR007692	DNA_helicase_DnaB	DNA helicase, DnaB type
IPR007693	DNA_helicase_DnaB-like_N	DNA helicase, DnaB-like, N-terminal
IPR007700	DUF668	Domain of unknown function DUF668
IPR007701	Interferon-rel_develop_reg_N	Interferon-related developmental regulator, N-terminal
IPR007703	PIF3	Per os infectivity factor 3
IPR007707	TACC_C	Transforming acidic coiled-coil-containing protein, C-terminal
IPR007709	N-FG_amidohydro	N-formylglutamate amidohydrolase
IPR007712	RelE/ParE_toxin	Toxin-antitoxin system, RelE/ParE toxin family
IPR007713	TMP_rpt	TMP repeat
IPR007721	RbsD_FucU	D-ribose pyranase RbsD/L-fucose mutarotase FucU
IPR007726	SS18_fam	SS18 family
IPR007727	Spo12	Spo12
IPR007728	Pre-SET_dom	Pre-SET domain
IPR007729	DGOK	2-keto-3-deoxy-galactonokinase
IPR007730	SPOR-like_dom	Sporulation-like domain
IPR007732	Cyt_b558_asu	Cytochrome b558 alpha-subunit
IPR007733	Agouti	Agouti
IPR007734	Heparan_SO4_2-O-STrfase	Heparan sulphate 2-O-sulfotransferase
IPR007736	Caleosin-related	Caleosin-related
IPR007737	Mga_HTH	Mga helix-turn-helix domain
IPR007739	RgpF	Rhamnan synthesis F
IPR007742	NosD_dom	Periplasmic copper-binding protein NosD, beta helix domain
IPR007743	Immunity-related_GTPase-like	Immunity-related GTPases-like
IPR007745	Cyt_c_oxidase_Cu-chaperone	Cytochrome c oxidase copper chaperone
IPR007747	Menin	Menin
IPR007749	DUF677	Protein of unknown function DUF677
IPR007750	DUF674	Protein of unknown function DUF674
IPR007753	Orbi_VP4	Orbivirus VP4 core
IPR007754	GlcNAc_II	N-acetylglucosaminyltransferase II
IPR007758	Nucleoporin_NSP1_C	Nucleoporin, NSP1-like, C-terminal
IPR007759	Asxl_HARE-HTH	ASXL, HARE-HTH domain
IPR007760	Mn_catalase	Manganese catalase
IPR007761	MtlR-like	Mannitol repressor MtlR-like
IPR007765	Baculo_p24	Baculovirus p24 capsid
IPR007767	DUF684	Protein of unknown function DUF684
IPR007768	Suppressor_of_fused	Suppressor of fused
IPR007770	DMP	Protein DMP
IPR007778	Dict_REP	Dictyostelium REP
IPR007780	NAD_Glu_DH_bac	NAD-glutamate dehydrogenase, bacteria
IPR007782	VKG_COase	Vitamin K-dependent gamma-carboxylase
IPR007784	PIR	Per os infectivity factor
IPR007789	DUF688	Protein of unknown function DUF688
IPR007790	LEF-4	Late expression factor 4
IPR007791	DjlA_N	Co-chaperone DjlA, N-terminal
IPR007793	DivIVA_fam	DivIVA family
IPR007794	Rib_rcpt_KP	Ribosome receptor lysine/proline rich
IPR007796	Herpes_BLLF1	Herpesvirus major outer envelope glycoprotein
IPR007797	AF4/FMR2	AF4/FMR2 family
IPR007801	UPF0276	Uncharacterised protein family UPF0276
IPR007802	Cyt_b6/f_cplx_su6	Cytochrome b6-f complex subunit 6
IPR007804	Gas-vesicle_GvpG	Gas vesicle protein GvpG
IPR007805	Gas-vesicle_GvpK	Gas vesicle protein GvpK
IPR007809	FlgN-like	FlgN-like protein
IPR007813	PilN	Type IV pilus inner membrane component PilN
IPR007814	PaaA_PaaC	1,2-phenylacetyl-CoA epoxidase, subunit A/C
IPR007815	Emycin_Estase	Erythromycin esterase
IPR007816	ResB-like_domain	ResB-like domain
IPR007817	DIT1_PvcA	Pyoverdine/dityrosine biosynthesis protein
IPR007818	SHI	SHI protein family
IPR007820	AbrB_fam	AbrB family
IPR007824	Flagellar_rod	Paraflagellar rod
IPR007826	PSII_PsbM	Photosystem II PsbM
IPR007827	DUF705	Protein of unknown function DUF694
IPR007828	Inositol_oxygenase	Inositol oxygenase
IPR007829	TM2	TM2 domain
IPR007831	T2SS_GspE_N	Type II secretion system protein GspE, N-terminal
IPR007833	Capsule_polysaccharide_synth	Capsule polysaccharide biosynthesis
IPR007835	MOFRL	MOFRL domain
IPR007836	Ribosomal_L41	Ribosomal protein L41
IPR007837	DinB	DNA damage-inducible protein DinB
IPR007838	Cell_div_ZapA-like	Cell division protein ZapA-like
IPR007839	GTP_CycHdrlase_3	GTP cyclohydrolase III
IPR007841	UPF0210	Uncharacterised protein family UPF0210
IPR007842	HEPN_dom	HEPN domain
IPR007844	AsmA	AsmA
IPR007845	HemS/ChuX_dom	Haemin-degrading HemS/ChuX domain
IPR007846	RRM_NUP35_dom	RNA-recognition motif (RRM) Nup35-type domain
IPR007849	ATP10	ATPase assembly factor ATP10
IPR007850	RCSD	RCSD
IPR007856	SapB_1	Saposin-like type B, region 1
IPR007857	Arg_MeTrfase_PRMT5	Protein arginine N-methyltransferase PRMT5
IPR007864	UreE_C_dom	Urease accessory protein UreE, C-terminal domain
IPR007866	TRIC_channel	TRIC channel
IPR007868	Hom_end_hint	Hom-end-associated Hint
IPR007869	Homing_endonuc_PI-Sce	Homing endonuclease PI-Sce
IPR007873	Glycosyltransferase_ALG3	Glycosyltransferase, ALG3
IPR007874	MinC_N	Septum formation inhibitor MinC, N-terminal
IPR007875	Sprouty	Sprouty
IPR007877	DUF707	Protein of unknown function DUF707
IPR007880	Spiralin	Spiralin
IPR007881	UNC-50	UNC-50
IPR007882	MAP6	Microtubule-associated protein 6
IPR007883	DUF713	Protein of unknown function DUF713
IPR007884	DREV_MeTrfase	DREV methyltransferase
IPR007887	MecA_N	NTF2-like N-terminal transpeptidase
IPR007889	HTH_Psq	DNA binding HTH domain, Psq-type
IPR007890	CHASE2	CHASE2
IPR007891	CHASE3	CHASE3
IPR007892	CHASE4	CHASE4
IPR007893	Spore_coat_U	Spore coat protein U
IPR007894	MASE2	MASE2
IPR007895	MASE1	MASE1
IPR007896	BTP_bacteria	Chlorhexidine efflux transporter
IPR007897	PHB_accumulat	PHB accumulation regulatory
IPR007898	Rrn10_Saccharomycetes	RNA polymerase I-specific transcription initiation factor Rrn10, Saccharomycetes
IPR007899	CHAD_dom	CHAD domain
IPR007900	TAF4	Transcription initiation factor TFIID component TAF4
IPR007902	Chl4/mis15/CENP-N	Centromere protein Chl4/mis15/CENP-N
IPR007914	UPF0193	Uncharacterised protein family UPF0193
IPR007918	MDM35_apoptosis	Mitochondrial distribution/morphology family 35/apoptosis
IPR007919	UPF0220	Uncharacterised protein family UPF0220
IPR007920	UPF0223	Protein of unknown function UPF0223
IPR007921	CHAP_dom	CHAP domain
IPR007922	DUF721/UPF0232	Protein of unknown function DUF721/UPF0232
IPR007925	TRelaxosome_TraM	Relaxosome protein TraM
IPR007926	Borrelia_P83	Borrelia P83100
IPR007929	DUF723	Protein of unknown function DUF723
IPR007930	DUF724	Protein of unknown function DUF724
IPR007931	TsetseEP	Protein TsetseEP
IPR007934	AbfB_ABD	Alpha-L-arabinofuranosidase B, arabinose-binding domain
IPR007936	VirE	Virulence-associated E
IPR007940	SH3BP5	SH3-binding 5
IPR007942	PLipase-like	Phospholipase-like
IPR007943	Asp-B-hydro/Triadin_dom	Aspartyl beta-hydroxylase/Triadin domain
IPR007944	FlhC	Flagellar transcriptional activator FlhC
IPR007945	Secretogranin_V	Neuroendocrine 7B2 precursor
IPR007947	CD164_MGC24	CD164-related protein
IPR007948	DUF736	Protein of unknown function DUF736
IPR007951	KRTAP_PMG	Keratin-associated protein, PMG type
IPR007954	Baculo_IE-1	Baculovirus immediate-early
IPR007956	Malonyl_CoA_deC_C	Malonyl-CoA decarboxylase, C-terminal
IPR007958	Scorpion_toxinS_Cl_inh	Scorpion short chain toxin, chloride channel inhibitor
IPR007959	Dino_Luciferase_N	Dinoflagellate luciferase, N-terminal
IPR007961	Herpes_LMP1	Herpesvirus latent membrane 1
IPR007963	Peptidase_M61_catalytic	Peptidase M61, catalytic domain
IPR007970	DUF733	Protein of unknown function DUF733
IPR007972	Mtfr1	Mitochondrial fission regulator 1
IPR007973	Pilus_assembly_TraE	Pilus assembly TraE
IPR007980	Ribosomal_VAR1	Ribosomal protein VAR1
IPR007981	Peptidase_A5	Peptidase A5, thermopsin
IPR007985	Hemolysn_expr_modulating_HHA	Haemolysin expression modulating, HHA
IPR007989	DUF730	Protein of unknown function DUF730
IPR007992	CybS	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, CybS
IPR007998	DUF719	Protein of unknown function DUF719
IPR007999	DUF745	Protein of unknown function DUF745
IPR008000	Rham/fucose_mutarotase	Rhamnose/fucose mutarotase
IPR008004	OCTOPUS-like	Protein OCTOPUS-like
IPR008007	Peptidase_M42	Peptidase M42
IPR008013	GATA_N	GATA-type transcription activator, N-terminal
IPR008014	GSK3-bd	Glycogen synthase kinase-3 binding protein
IPR008016	Gp10	Portal protein Gp10
IPR008018	Phage_tail_attach_FII	Bacteriophage tail attachment protein FII
IPR008020	G8P	Capsid protein G8P
IPR008021	Attachment_G3P_N	Attachment protein G3P, N-terminal
IPR008023	DUF748	Protein of unknown function DUF748
IPR008024	YiaAB	YiaAB two helix
IPR008025	CPI-17	CPI-17
IPR008027	QCR9	Cytochrome b-c1 complex subunit 9
IPR008037	Pacifastin_dom	Pacifastin domain
IPR008042	Retrotrans_Pao	Retrotransposon, Pao
IPR008063	Fas_rcpt	Fas receptor
IPR008066	Cyt_P450_E_grp-I_CYP1	Cytochrome P450, E-class, group I, CYP1
IPR008067	Cyt_P450_E_grp-I_CYP2A-like	Cytochrome P450, E-class, group I, CYP2A-like
IPR008069	Cyt_P450_E_grp-I_CYP2D-like	Cytochrome P450, E-class, group I, CYP2D-like
IPR008071	Cyt_P450_E_grp-I_CYP2J-like	Cytochrome P450, E-class, group I, CYP2J-like
IPR008072	Cyt_P450_E_CYP3A	Cytochrome P450, E-class, CYP3A
IPR008075	LIMR	Lipocalin-interacting membrane receptor
IPR008076	Cyanase	Cyanate hydratase
IPR008077	GPCR_2_brain_angio_inhib	GPCR, family 2, brain-specific angiogenesis inhibitor
IPR008080	Parvalbumin	Parvalbumin
IPR008081	Cytoplasmic_FMR1-int	Cytoplasmic FMR1-interacting
IPR008088	Alpha_giardin	Alpha giardin
IPR008092	Ribosomal_S29_mit	Ribosomal protein S29, mitochondrial
IPR008095	MHC_II_transact	MHC class II transactivator
IPR008103	KiSS_1_rcpt	KiSS-1 peptide receptor
IPR008108	IpgD/SopB	Phosphatase IpgD/SopB
IPR008112	Relaxin_rcpt	Relaxin receptor
IPR008113	Septin2	Septin 2
IPR008115	Septin7	Septin 7
IPR008116	SSDP_DNA-bd	Sequence-specific single-strand DNA-binding protein
IPR008117	Microneme_MIC1	Micronemal protein 1
IPR008118	Gra2_protein	Dense granule Gra2 protein
IPR008119	Gra6_protein	Dense granule Gra6 protein
IPR008120	Dense_granule_Gra7_protein	Dense granule Gra7 protein
IPR008122	TF_AP2_beta	Transcription factor AP-2 beta
IPR008125	Streptothricin_AcTrfase	Streptothricin acetyltransferase
IPR008129	Glycine_rcpt_A2	Glycine receptor alpha2
IPR008135	Competence-induced_CinA	Competence-induced protein CinA
IPR008136	CinA_C	CinA, C-terminal
IPR008141	Ala_DH	Alanine dehydrogenase
IPR008142	AlaDH/PNT_CS1	Alanine dehydrogenase/NAD(P) transhydrogenase, conserved site-1
IPR008143	Ala_DH/PNT_CS2	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, conserved site-2
IPR008148	DNA_photolyase_2	DNA photolyase class 2
IPR008150	Phytoene_DH_bac_CS	Phytoene dehydrogenase, bacterial-type, conserved site
IPR008154	Amyloid_glyco_extra	Amyloidogenic glycoprotein, extracellular
IPR008155	Amyloid_glyco	Amyloidogenic glycoprotein
IPR008157	ANX11	Annexin A11
IPR008164	XGLTT_repeat	Repeat of unknown function XGLTT
IPR008166	Glyco_transf_92	Glycosyltransferase family 92
IPR008168	Cyt_C_IC	Cytochrome c, class IC
IPR008173	Adenylyl_cyclase_CyaB	Adenylyl cyclase CyaB
IPR008176	Defensin_plant	Defensin, plant
IPR008179	HisE	Phosphoribosyl-ATP pyrophosphohydrolase
IPR008187	Vpu	Vpu protein
IPR008197	WAP_dom	WAP-type 'four-disulfide core' domain
IPR008200	NMU_C	Neuromedin U, C-terminal
IPR008205	GGGP_HepGP_synthase	Geranylgeranylglyceryl phosphate synthase/Heptaprenylglyceryl phosphate synthase
IPR008207	Sig_transdc_His_kin_Hpt_dom	Signal transduction histidine kinase, phosphotransfer (Hpt) domain
